Vendor ID,Vendor Name,Vendor Category,Business Capability,Supporting Application,Business Owner,Technology Owner,Executive Sponsor,Vendor Tier,Data Classification,Geographic Region,Regulatory Impact,Assessment Date,Assessment Expiry,Governance Score,Security Score,Business Dependency Score,Continuous Monitoring Score,Concentration & Resilience Score,Composite Score,Risk Tier,Continuous Monitoring,Contract Renewal,Assessment Half-Life (Days),Current Status,Notes
V011,Maersk,Maritime Logistics,Ocean Freight,PortFlow,"VP, Global Logistics Operations",Logistics Systems Manager,COO,Critical,Confidential,Global,GDPR,7/1/2026,9/29/2026,88,89,97,87,74,88,Moderate,Yes,12/31/2027,90,Approved,Strategic maritime logistics partner with global operational dependency.
V012,DHL Supply Chain,Logistics,Distribution,NovaTrack,"VP, Distribution Operations",Logistics Systems Manager,COO,High,Confidential,Global,GDPR,7/15/2026,1/11/2027,86,87,92,84,73,86,Moderate,Yes,6/30/2027,180,Approved,Critical service provider. Continuous monitoring enabled.
V013,FedEx Logistics,Transportation,Express Logistics,NovaTrack,"VP, Global Logistics Operations",Logistics Systems Manager,COO,High,Confidential,Global,GDPR,7/15/2026,1/11/2027,86,86,90,84,72,85,Moderate,Yes,6/30/2027,180,Approved,Critical service provider. Continuous monitoring enabled.
V014,Kuehne+Nagel,Freight Forwarding,Global Freight,NovaTrack,"VP, Global Logistics Operations",Logistics Systems Manager,COO,Medium,Confidential,Global,GDPR,8/1/2026,8/1/2027,85,86,88,82,72,84,Moderate,No,12/31/2026,365,Approved,Standard third-party assessment completed. Scheduled for periodic reassessment.
V015,C.H. Robinson,Logistics Services,Carrier Management,NovaTrack,"Director, Carrier Management",Logistics Systems Manager,COO,Medium,Internal,Americas,GDPR,8/1/2026,8/1/2027,84,83,82,80,74,82,Moderate,No,12/31/2026,365,Approved,Standard third-party assessment completed. Scheduled for periodic reassessment.
V016,Azure OpenAI Service,AI Platform,AI Enablement,InsightOps AI,"Director, AI & Data Innovation",AI Platform Manager,Chief Data & AI Officer,High,Restricted,Global,GDPR; EU AI Act,7/15/2026,1/11/2027,88,90,89,88,70,87,Moderate,Yes,6/30/2027,180,Approved,Critical service provider. Continuous monitoring enabled.
V017,Databricks,Data Engineering,Analytics,InsightOps,"Director, Enterprise Analytics",Data Platform Manager,Chief Data & AI Officer,Medium,Restricted,Global,GDPR,8/1/2026,8/1/2027,88,89,83,86,72,85,Moderate,No,12/31/2026,365,Approved,Standard third-party assessment completed. Scheduled for periodic reassessment.
V018,Elastic,Search & Analytics,Security Analytics,SOC Platform,"Director, Cybersecurity Operations",Security Engineering Manager,CISO,Medium,Internal,Global,None,8/1/2026,8/1/2027,85,87,78,85,70,83,Moderate,No,12/31/2026,365,Approved,Standard third-party assessment completed. Scheduled for periodic reassessment.
V019,MongoDB Atlas,Database Platform,Application Services,NovaTrack,"Director, Application Engineering",Database Platform Manager,CIO,Medium,Confidential,Global,GDPR,8/1/2026,8/1/2027,86,88,80,86,71,84,Moderate,No,12/31/2026,365,Approved,Standard third-party assessment completed. Scheduled for periodic reassessment.
V020,Cisco,Networking,Enterprise Network,Infrastructure,"Director, Infrastructure Services",Network Services Manager,CIO,High,Internal,Global,ISO 27001,7/15/2026,1/11/2027,91,92,84,90,69,87,Moderate,Yes,6/30/2027,180,Approved,Critical service provider. Continuous monitoring enabled.
V021,Verizon Business,Telecommunications,Global Connectivity,WAN Services,"Director, Infrastructure Services",Network Services Manager,CIO,Medium,Internal,Americas,None,8/1/2026,8/1/2027,85,88,84,82,69,83,Moderate,No,12/31/2026,365,Approved,Standard third-party assessment completed. Scheduled for periodic reassessment.
V022,DocuSign,Digital Agreements,Procurement,Contract Management,"Director, Procurement",Enterprise Applications Manager,CFO,Medium,Confidential,Global,GDPR,8/1/2026,8/1/2027,87,88,82,84,72,84,Moderate,No,12/31/2026,365,Approved,Standard third-party assessment completed. Scheduled for periodic reassessment.
V023,Adobe,Digital Content,Marketing,Creative Services,"Director, Marketing",Enterprise Applications Manager,Chief Marketing Officer,Low,Internal,Global,GDPR,8/15/2026,8/14/2028,82,83,65,76,74,77,Moderate,No,6/30/2026,730,Approved,Low business impact vendor. Annual assessment sufficient.
V024,Atlassian,Project Management,Engineering,Jira & Confluence,"Director, Software Engineering",DevSecOps Platform Manager,CIO,Medium,Internal,Global,GDPR,8/1/2026,8/1/2027,86,85,81,83,71,83,Moderate,No,12/31/2026,365,Approved,Standard third-party assessment completed. Scheduled for periodic reassessment.
V025,Workday,Human Resources,HR Operations,Workday,"VP, Human Resources",Enterprise Applications Manager,CHRO,Medium,Restricted,Global,GDPR,8/1/2026,8/1/2027,90,89,86,87,72,87,Moderate,No,12/31/2026,365,Approved,Standard third-party assessment completed. Scheduled for periodic reassessment.
V026,Proofpoint,Email Security,Cybersecurity,Email Protection,"Director, Cybersecurity Operations",Security Engineering Manager,CISO,High,Internal,Global,ISO 27001,7/15/2026,1/11/2027,90,93,82,91,68,87,Moderate,Yes,6/30/2027,180,Approved,Critical service provider. Continuous monitoring enabled.
V027,Fortinet,Network Security,Cybersecurity,Branch Security,"Director, Cybersecurity Operations",Security Engineering Manager,CISO,Medium,Internal,Global,ISO 27001,8/1/2026,8/1/2027,88,91,82,88,70,86,Moderate,No,12/31/2026,365,Approved,Standard third-party assessment completed. Scheduled for periodic reassessment.
V028,Zoom,Collaboration,Enterprise Communications,Meetings,"Director, Enterprise IT Services",Enterprise Applications Manager,CIO,Low,Internal,Global,GDPR,8/15/2026,8/14/2028,84,84,68,78,72,78,Moderate,No,6/30/2026,730,Approved,Low business impact vendor. Annual assessment sufficient.
V029,Miro,Collaboration,Innovation,Whiteboarding,"Director, Digital Innovation",Enterprise Applications Manager,CIO,Low,Internal,Global,GDPR,8/15/2026,8/14/2028,82,81,64,75,71,76,Moderate,No,6/30/2026,730,Approved,Low business impact vendor. Annual assessment sufficient.
V030,Canva Enterprise,Productivity,Corporate Communications,Design Platform,"Director, Corporate Communications",Enterprise Applications Manager,Chief Marketing Officer,Low,Public,Global,None,8/15/2026,8/14/2028,80,80,60,74,70,74,Elevated,No,6/30/2026,730,Approved,Low business impact vendor. Annual assessment sufficient.
,,,,,,,,,,,,,,,,,,,,,,,,,
